431,12,flow,,,,,,,,,,
num,name,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
115,b115,790187,1093022,40,12,V,CP,0.2312,0,0,GRANITES,0
116,b116,755914,1116108,60,86,V,EC,0,0,29.74,GRANITES,0
117,b117,755860,1115670,60,88,U,NC,0.754247233,1216.4145,49.684,GRANITES,1
118,b118,755914,1116108,70,21,V,CB2P,0.343715383,2187.018822,39.2437931,GRANITES,0.3
119,b119,755860,1115670,40,23,V,NC,0,0,0,GRANITES,0
120,b120,774794,1152124,50,20,V,CP,0.313038083,2539.466274,18.4439623,GRANITES,0.3
121,b121,760773,1160962,110,116,V,NC,0.337882375,877.7645915,15.9164238,GRANITES,2.8
122,b122,756473,1154220,118,125,W,EC,0.73539101,2264.9825,32.54,VOLCANO-SEDIM. SCHISTS,1
123,b123,759752,1136947,90,90,V,CP,0.637782586,1432.243581,21.627027,GRANITES,1
124,b124,790635,1092760,70,114,V,CP,0.737850536,1265.376786,32.6714286,GRANITES,1
125,b125,790724,1092789.5,30,28,V,CP,0,4264.528,14.528,GRANITES,0
126,b126,790838,1093058,70,121,V,CP,0.723810091,1114.3505,48.996,GRANITES,1
127,b127,790618,1092974,100,68,V,CP,0.219203102,912.4658126,48.6245578,GRANITES,2.3
128,b128,790594,1092865,90,101,V,EC,1.067903705,1224.677806,43.3453061,GRANITES,0.8
129,b129,790194,1093026,110,410,W,EC,1.133727866,1577.004248,27.0841935,VOLCANO-SEDIM. SCHISTS,3.1
130,b130,790207,1093044,140,801,V,CP,1.378561133,1031.048538,26.3773585,GEOSYN. GRANITES,5
131,b131,790635,1092760,62,142,V,CP,1.097552684,767.5625,,GEOSYN. GRANITES,0.9
132,b132,790724,1092789.5,20,28,V,CP,0,0,0,GRANITES,0
133,b133,790838,1093058,50,39,V,CP,0,0,0,GRANITES,0
134,b134,790618,1092974,50,32,V,CP,0.464845849,2298.4125,19.44,GRANITES,0.4
135,b135,790594,1092865,90,13,V,CP,0.068986028,1149.499709,27.3790698,GRANITES,1
136,b136,790194,1093026,60,119,V,CP,0.942809041,918.2110149,16.94950495,GRANITES,1
