num	name	east	north	power	magnitude	shape	type	sfi	ohmS	lwi	geol	flow
120	b120	774794	1152124	40	84	V	CP	1.245854805	118.4139623	3.7	GRANITES	0.3
121	b121	760773	1160962	40	84	V	NC	1.245854805	215.6364238	6.9	GRANITES	3.6
122	b122	756473	1154220	100	413	W	EC	0.085606148	132.44	4.2	VOLCANO-SEDIM. SCHISTS	1
123	b123	759752	1136947	70	176	V	CP	0.409800521	321.527027	10.5	GRANITES	1
124	b124	790635	1092760	50	300	V	CP	0.21684608	232.5714286	7.4	GRANITES	1
125	b125	790724	1092789.5	30	274	V	CP	0.325165892	264.528	8.4	GRANITES	0
126	b126	790838	1093058	50	384	V	CP	0.935443346	148.896	4.7	GRANITES	2.5
127	b127	790618	1092974	40	108	V	CP	1.204700442	198.3945578	4.6	GRANITES	2.3
128	b128	790594	1092865	70	43	V	EC	1.348436187	343.2653061	11.6	GRANITES	1.2
129	b129	790194	1093026	40	121	W	EC	0.385694608	876.7741935	15.1	VOLCANO-SEDIM. SCHISTS	3.1
130	b130	790207	1093044	20	214	V	CP	0.786408476	375.8773585	11.4	GEOSYN. GRANITES	5
131	b131	790635	1092760	50	300	V	CP	0.21684608		6.1	GEOSYN. GRANITES	1.3
132	b132	790724	1092789.5	30	274	V	CP	0.325165892	0	0	GRANITES	0
133	b133	790838	1093058	50	384	V	CP	0.935443346	0	0	GRANITES	0
134	b134	790618	1092974	40	108	V	CP	1.204700442	169.4	5.5	GRANITES	0.4
135	b135	790594	1092865	70	43	V	CP	1.348436187	177.2790698	6.6	GRANITES	1
136	b136	790194	1093026	40	121	V	CP	0.385694608	66.84950495	2.2	GRANITES	2
137	b137	790207	1093044	20	214	V	CP	0.786408476	0	0	GRANITES	1
138	b138	774798	1151676	40	146	K	CP	1.278604043	294.7357664	9.2	GRANITES	0.4
139	b139	793808	1157500	40	81	K	CP	0.872971335	324.3945205	10.4	GRANITES	1
140	b140	794272	1173314	20	14	W	NC	1.212183053	209.9865471	6.6	VOLCANO-SEDIM. SCHISTS	1
141	b141	769958	1137173	40	146	V	CP	1.278604043	259.524	8.1	GNEISS-MIGMATITES	1
142	b142	764896	1131618	40	81	V	NC	0.872971335	602.6504854	19.8	GRANITES	0.2
143	b143	765096	1124909	20	14	V	CP	1.212183053		5.9	GNEISS-MIGMATITES	0.4
144	b144	760779	1119807	50	152	V	CP	1.163004574	272.1440367	8.9	GRANITES	0
145	b145	760506	1116077	30	19	V	NC	0.852713178		5.9	GRANITES	0
146	b146	763063	1054784	50	152	V	CP	1.163004574	207.7	6.7	GRANITES	0
147	b147	769302	1055036	30	19	C	CP	0.852713178	259.1707317	8.4	GNEISS-MIGMATITES	0.7
148	b148	749534	1061331	30	19	V	CP	1.042052099	282.8410256	9.2	GEOSYN. GRANITES	5
149	b149	773470	1059889	60	37	V	EC	1.070215669	0	0	GRANITES	1
150	b150	775487	1054834	30	19	V	CP	1.042052099	108.6893617	3.6	GRANITES	0
151	b151	783677	1094704	60	37	V	CB2P	1.070215669	190.96	6.2	GRANITES	1
152	b152	776217	1161953	60	125	V	NC	0.37335238	109.6146497	3.5	GRANITES	2
153	b153	748669	1136769	60	147	U	EC	0.817742536	240.2472527	7.5	GRANITES	1
154	b154	778287	1095277	60	125	V	NC	0.37335238	409.9877419	13.1	GNEISS-MIGMATITES	1.5
155	b155	776515	1051845	60	147	V	CB2P	0.817742536		7.4	GRANITES	3
