Grid	UTM
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	085		User Waypoint	29 P 772298 1034820					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:43 PM 		
Waypoint	086		User Waypoint	29 P 779349 1035020					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:45 PM 		
Waypoint	087		User Waypoint	29 P 782508 1065241					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:48 PM 		
Waypoint	088		User Waypoint	29 P 760026 1061351					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:50 PM 		
Waypoint	089		User Waypoint	29 P 778518 1087356					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:54 PM 		
Waypoint	090		User Waypoint	29 P 771278 1071794					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:57 PM 		
Waypoint	091		User Waypoint	29 P 780328 1105713					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:00 PM 		
Waypoint	092		User Waypoint	29 P 778163 1144097					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:05 PM 		
Waypoint	093		User Waypoint	29 P 774362 1111110					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:10 PM 		
Waypoint	094		User Waypoint	29 P 774051 1151223					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:15 PM 		
Waypoint	095		User Waypoint	29 P 761205 1163351					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:20 PM 		
Waypoint	096		User Waypoint	29 P 774794 1152124					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:22 PM 		
Waypoint	097		User Waypoint	29 P 760773 1160962					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:24 PM 		
Waypoint	098		User Waypoint	29 P 756473 1154220					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:27 PM 		
Waypoint	099		User Waypoint	29 P 759752 1136947					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:29 PM 		
Waypoint	100		User Waypoint	29 P 774798 1151676					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:31 PM 		
Waypoint	101		User Waypoint	29 P 793808 1157500					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:33 PM 		
Waypoint	102		User Waypoint	29 P 794272 1173314					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:36 PM 		
Waypoint	103		User Waypoint	29 P 769958 1137173					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:38 PM 		
Waypoint	104		User Waypoint	29 P 764896 1131618					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:40 PM 		
Waypoint	105		User Waypoint	29 P 765096 1124909					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:43 PM 		
Waypoint	106		User Waypoint	29 P 760779 1119807					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:45 PM 		
Waypoint	107		User Waypoint	29 P 760506 1116077					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:48 PM 		
Waypoint	A12	 A12	User Waypoint	29 P 763063 1054784					Symbol & Name	Unknown	Waypoint					9/5/2021 5:24:04 PM 		
Waypoint	A121	 A12	User Waypoint	29 P 769302 1055036					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:11 PM 		
