hole_id,strata_name,rock_name,aquifer_group,depth_top,depth_bottom,layer_thickness,resistivity,gamma_gamma,natural_gamma,sp,short_distance_gamma,well_diameter,pumping_level,aquifer_thickness,hole_depth_before_pumping,hole_depth_after_pumping,hole_depth_loss,depth_starting_pumping,pumping_depth_at_the_end,pumping_depth,section_aperture,k,kp,r,rp,remark
H1102,medium-grained sandstone,,V,533.7,543.3,9.13,18.19270833,970.6041667,7.90703125,-4.048645833,578.1041667,225.083125,,,,,,,,,,,,,,
H1102,siltstone,,V,543.3,547.03,3.55,15.43243243,848.2972973,9.48972973,-4.325135135,526.9459459,241.9340541,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,547.03,550.83,3.61,18.0,753.6578947,9.960921053,-4.435,496.1052632,231.8876316,,,,,,,,,,,,,,
H1102,siltstone,,V,550.83,553.43,2.47,29.90384615,757.0384615,13.94230769,-4.873461538,546.4615385,239.2151923,,,,,,,,,,,,,,
H1102,coal,10 coal,V,553.43,558.12,4.46,34.35106383,5599.297872,1.980212766,-5.767978723,657.4680851,234.0978723,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,558.12,560.8,2.55,16.64814815,1004.666667,10.49555556,-5.167777778,510.5925926,224.8505556,,,,,,,,,,,,,,
H1102,siltstone,,V,560.8,561.25,0.43,19.88888889,1065.111111,15.72444444,-5.667777778,612.4444444,238.3622222,,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,561.25,561.5,0.24,21.0,2245.2,14.984,-5.912,602.0,237.514,,,,,,,,,,,,,,
H1102,siltstone,,V,561.5,562.05,0.52,19.54545455,1279.090909,14.37636364,-5.945454545,536.5454545,230.6590909,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,562.05,563.7,1.57,17.12121212,840.8484848,10.32424242,-5.995757576,529.3939394,231.5587879,,,,,,,,,,,,,,
H1102,siltstone,,V,563.7,571.55,7.47,20.39490446,804.3057325,12.0533121,-6.457452229,522.2675159,210.1512739,,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,571.55,571.85,0.29,19.0,2317.333333,12.93666667,-6.648333333,533.3333333,213.73,,,,,,,,,,,,,,
H1102,siltstone,,V,571.85,572.25,0.38,18.375,1081.75,15.3375,-6.615,513.75,214.85875,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,572.25,574.45,2.09,18.63636364,933.3181818,11.3875,-6.764772727,553.6363636,216.5188636,,,,,,,,,,,,,,
H1102,siltstone,,V,574.45,576.55,2.0,27.78571429,939.4285714,10.18547619,-6.972619048,498.3809524,195.5109524,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,576.55,583.3,6.42,20.72592593,760.1185185,11.0737037,-6.620962963,511.037037,205.8354815,,,,,,,,,,,,,,
H1102,siltstone,,V,583.3,586.6,3.14,22.30952381,881.3333333,15.9119697,-6.855909091,542.6060606,215.7462121,,,,,,,,,,,,,,
H1102,coal,12 coal,V,586.6,588.73,2.03,28.24242424,5494.380952,2.324285714,-7.123809524,674.952381,207.2980952,,,,,,,,,,,,,,
H1102,siltstone,,V,588.73,590.65,1.83,17.97435897,854.2564103,15.04794872,-7.36,456.5641026,217.5266667,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,590.65,591.73,1.03,16.19047619,796.6666667,13.04333333,-7.495714286,543.3333333,224.5180952,,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,591.73,591.9,0.16,14.5,2999.0,11.6475,-7.3575,550.5,226.8,,,,,,,,,,,,,,
H1102,siltstone,,V,591.9,595.3,3.23,18.54411765,1079.441176,14.81352941,-7.643823529,517.8235294,213.6655882,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,595.3,599.1,3.61,18.06578947,715.0789474,13.85644737,-7.438421053,486.6578947,226.3482895,,,,,,,,,,,,,,
H1102,siltstone,,V,599.1,602.3,3.04,20.65625,704.75,11.89640625,-7.4471875,503.53125,211.3782813,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,602.3,612.0,9.23,21.94329897,808.7680412,9.800515464,-6.155670103,529.5412371,184.1609794,,,,,,,,,,,,,,
H1102,siltstone,,V,612.0,615.41,3.24,22.16176471,944.3823529,13.50073529,-7.810294118,514.6470588,210.3514706,,,,,,,,,,,,,,
H1102,coal,13 coal,V,615.41,616.0,0.56,24.91666667,4851.166667,6.395833333,-8.209166667,631.5,202.8366667,,,,,,,,,,,,,,
