hole id;depth top  ;depth bottom;strata name;rock name;layer thickness ;resistivity;gamma-gamma;natural gamma;sp;short- distance gamma;well diameter ;aquifer group;pumping level;aquifer thickness;hole depth before pumping ;hole depth after pumping ;hole depth loss ;depth starting pumping ;pumping depth at the end;pumping depth ;section aperture ;k;kp;r;rp;remark 
H502;612.15;619.63;Coarse-grained sandstone;;7.44;44.28624161;1216.134228;9.326308725;-2.715838926;7093.536913;109.4061074;V;;;;;;;;;;;;;;
H502;619.63;620.38;fine-grained sandstone;;0.75;42.53133333;1014.333333;17.57933333;-2.028;6134.6;127.0973333;V;;;;;;;;;;;;;;
H502;620.38;620.68;siltstone;;0.3;37.95166667;1325.166667;18.09333333;-2.02;6760;127.245;V;;;;;;;;;;;;;;
H502;620.68;620.9;coal;;0.22;41.866;3224.4;13.774;-2.03;9800.2;127.266;V;;;;;;;;;;;;;;
H502;620.9;622.42;siltstone;;1.51;36.68666667;993.7;19.54466667;-2.068333333;5933.733333;127.218;V;;;;;;;;;;;;;;
H502;622.42;623.33;mudstone;;0.91;36.21;1207.666667;19.42222222;-2.290555556;6580.055556;126.0694444;V;;;;;;;;;;;;;;
H502;623.33;623.8;coal;13 coal;0.47;57.895;5967.8;10.382;-2.566;11678.9;122;V;;;;;;;;;;;;;;
H502;623.8;627.33;medium-grained sandstone;;3.51;55.80442857;1139.1;11.47771429;-2.550714286;6603.371429;118.2772857;V;;;;;;;;;;;;;;
H502;627.33;627.63;Coarse-grained sandstone;;0.3;39.64666667;964.8333333;18.95333333;-2.17;5962.833333;142.96;V;;;;;;;;;;;;;;
H502;627.63;628.28;siltstone;;0.65;38.50923077;932.5384615;18.27307692;-2.186923077;5995.923077;143.1392308;V;;;;;;;;;;;;;;
H502;628.28;628.61;mudstone;;0.33;40.84428571;915.5714286;12.81857143;-2.204285714;5847.285714;143.16;V;;;;;;;;;;;;;;
H502;628.61;629.11;fine-grained sandstone;;0.5;42.563;945.3;14.099;-2.214;6012.5;143.169;V;;;;;;;;;;;;;;
H502;629.11;629.41;siltstone;;0.3;46.18166667;2375.833333;12.53;-2.216666667;8244.833333;143.16;V;;;;;;;;;;;;;;
H502;629.41;629.7;coal;14 coal;0.29;51.07;5867.333333;10.14333333;-2.183333333;11872.33333;143.145;V;;;;;;;;;;;;;;
H502;629.7;634.95;siltstone;;5.22;37.916;1091.609524;16.26819048;-2.127047619;6231.914286;141.6492381;V;;;;;;;;;;;;;;
H502;634.95;636.59;fine-grained sandstone;;1.63;42.9028125;935.25;15.406875;-2.1615625;6050;127.9990625;V;;;;;;;;;;;;;;
H502;636.59;637.41;siltstone;;0.82;55.59294118;766.4705882;14.53117647;-2.307647059;5575.176471;119.8641176;V;;;;;;;;;;;;;;
H502;637.41;637.57;mudstone;;0.16;76.5;935.3333333;7.44;-2.403333333;5819;119.7633333;V;;;;;;;;;;;;;;
H502;637.57;638.91;coal;15-1 Coal;1.33;68.15148148;5431.777778;9.254814815;-2.22037037;11298.96296;125.1840741;V;;;;;;;;;;;;;;
H502;638.91;639.33;siltstone;;0.42;43.565;1906.125;19.65125;-2.08;7092.75;123.68;V;;;;;;;;;;;;;;
H502;639.33;639.88;mudstone;;0.55;42.99181818;1329;19.79818182;-2.126363636;6918.636364;121.9181818;V;;;;;;;;;;;;;;
H502;639.88;640.21;coal;15-2 coal;0.33;50.64;4475.428571;14.32;-2.23;10713.28571;120.1285714;V;;;;;;;;;;;;;;
H502;640.21;640.75;siltstone;;0.54;53.74272727;1285;17.70909091;-2.355454545;6383.454545;116.0181818;V;;;;;;;;;;;;;;
H502;640.75;641.89;mudstone;;1.13;82.31909091;772.1818182;11.72318182;-2.435;5567.454545;115.9936364;V;;;;;;;;;;;;;;
H502;641.89;642.12;carbonaceous mudstone;;0.23;47.086;2296;17.564;-2.334;9041.6;122.564;V;;;;;;;;;;;;;;
H502;642.12;642.82;siltstone;;0.7;38.29714286;1083.285714;21.77428571;-2.237142857;6107.285714;126.81;V;;;;;;;;;;;;;;
H502;642.82;643.17;fine-grained sandstone;;0.35;36.75;982;20.51857143;-2.091428571;6077.857143;131.5185714;V;;;;;;;;;;;;;;
H502;643.17;643.67;siltstone;;0.5;34.339;1049.4;20.956;-2.104;6308.2;135.177;V;;;;;;;;;;;;;;
H502;643.67;644.35;mudstone;;0.68;38.56785714;1454.142857;14.75142857;-2.118571429;7053.428571;138.3971429;V;;;;;;;;;;;;;;
H502;644.35;644.58;carbonaceous mudstone;;0.23;38.5825;3664;13.8225;-2.145;10743.75;139.64;V;;;;;;;;;;;;;;
