num,name,east,north,power,magnitude,shape,type,sfi,OhmS,WI,geol,flow
237,NEGUEPIE,750348,1046402,70,96,V,CB2P,1.090122954,,8.9,GRANITES,0.7
238,NEGUEPIE,748690,1079390,60,87,V,CP,1.072851668,332.5445783,10.2,GRANITES,9
239,NIARANGBA,785844,1050875,70,96,V,CB2P,1.090122954,302.3283856,0,GRANITES,0
240,NIARANGBA,777836,1057377,60,87,W,NC,1.072851668,275.4604045,6.5,GRANITES,1
241,NIGONI,772281,1057337,70,96,V,CB2P,1.090122954,348.5924233,9.2,GRANITES,1
242,NIGONI,769019,1051498,50,66,V,CP,0.930232558,309.0266667,9.8,VOLCANO-SEDIM. SCHISTS,1.9
243,NIGONI,762364,1058310,50,642,V,NC,1.21816215,107.712,3.4,VOLCANO-SEDIM. SCHISTS,1
244,NIGONI,755132,1062138,50,415,C,NC,1.18930249,723.2689655,22.7,GRANITES,1
245,NIGONI,751669,1063754,50,642,U,NC,1.21816215,175.23,5.9,VOLCANO-SEDIM. SCHISTS,10
246,NIGONI,774964,1080470,40,177,V,NC,1.358284212,0,0,VOLCANO-SEDIM. SCHISTS,1.2
247,PARARA,743108,1064444,50,53,W,EC,0.56034877,309.3913907,9.9,VOLCANO-SEDIM. SCHISTS,1
248,PARARA,742109,1056386,50,126,U,NC,0.897913373,0,0,VOLCANO-SEDIM. SCHISTS,0
249,PARARA,759426,1048897,40,177,V,NC,1.358284212,306.2162162,10,GEOSYN. GRANITES,10
250,PARARA,755421,1041415,90,62,U,CB2P,1.140494808,207.4285714,6.6,VOLCANO-SEDIM. SCHISTS,1
251,PARARA,744474,1085027,50,126,K,CP,0.897913373,415.6868571,13.2,VOLCANO-SEDIM. SCHISTS,4.5
252,PARARA,792785,1085230,20,41,W,NC,1.172762466,0,0,VOLCANO-SEDIM. SCHISTS,1
253,PARARA,788410,1068940,80,47,C,CP,0.722151606,0,0,VOLCANO-SEDIM. SCHISTS,1
254,SAN,789971,1061197,30,25,V,CP,1.414213562,0,0,VOLCANO-SEDIM. SCHISTS,2
255,SAN,766015,1051626,70,135,V,CP,0.178086152,142.0408163,4.8,GRANITES,1
256,SAN,776950,1055432,40,142,V,CP,0.488003272,452.9032258,7.8,GRANITES,0.2
257,SAN,774807,1081364,50,417,K,CP,0.06104519,194.5330189,5.9,GRANITES,3
258,SAN,776908,1081379,40,142,C,NC,0.488003272,,0,GRANITES,0
259,SAN,757397,1037998,20,33,V,NC,1.114228867,203.28,6.8,GRANITES,0.4
260,SIRAKORO,769417,1037633,80,47,V,NC,0.722151606,63.56682028,2,GRANITES,0.3
